Serial No.,GRE,TOEFL,University,SOP,LOR,CGPA,Research,Chance of Admit,internship_abroad
1,337,118,b,4.5,4.5,4.551516764,1,0.92,0
2,324,107,b,4,4.5,4.161516764,1,0.76,1
3,316,104,c,3,3.5,3.726516764,1,0.72,1
4,322,110,c,3.5,2.5,4.061516764,1,0.8,1
5,314,103,d,2,3,3.831516764,0,0.65,0
6,330,115,a,4.5,3,4.396516764,1,0.9,1
7,321,109,c,3,4,3.826516764,1,0.75,0
8,308,101,d,3,4,3.676516764,0,0.68,0
9,302,102,e,2,1.5,3.726516764,0,0.5,0
10,323,108,c,3.5,3,4.026516764,0,0.45,0
11,325,106,c,3.5,4,3.926516764,1,0.52,1
12,327,111,b,4,4.5,4.226516764,1,0.84,0
13,328,112,b,4,4.5,4.276516764,1,0.78,0
14,307,109,c,4,3,3.726516764,1,0.62,1
15,311,104,c,3.5,2,3.826516764,1,0.61,0
16,314,105,c,3.5,2.5,3.876516764,0,0.54,0
17,317,107,c,4,3,4.076516764,0,0.66,1
18,319,106,c,4,3,3.726516764,1,0.65,0
19,318,110,c,4,3,4.126516764,0,0.63,1
20,303,102,c,3.5,3,3.976516764,0,0.62,0
21,312,107,c,3,2,3.676516764,1,0.64,0
22,325,114,b,3,2,3.926516764,0,0.7,0
23,328,116,a,5,5,4.476516764,1,0.94,1
24,334,119,a,5,4.5,4.576516764,1,0.95,1
25,336,119,a,4,3.5,4.626516764,1,0.97,1
26,340,120,a,4.5,4.5,4.526516764,1,0.94,0
27,322,109,a,4.5,3.5,4.126516764,0,0.76,0
28,310,99,d,1.5,2,0.913894519,0,0.54,0
29,300,97,d,3,3,3.776516764,1,0.65,1
30,327,103,c,4,4,3.876516764,1,0.74,0
31,338,118,b,3,4.5,4.426516764,1,0.91,0
32,340,114,a,4,4,4.526516764,1,0.9,0
33,331,112,a,4,5,4.626516764,1,0.94,1
34,320,110,a,5,5,4.326516764,1,0.88,0
35,299,106,d,4,4,3.926516764,0,0.64,0
36,300,105,e,1,2,3.626516764,0,0.58,0
37,304,105,e,3,1.5,1.444698418,0,0.52,0
38,307,108,d,4,3.5,3.576516764,0,0.48,0
39,308,110,c,3.5,3,3.726516764,1,0.46,1
40,316,105,d,2.5,2.5,3.826516764,1,0.49,0
41,313,107,d,2.5,2,3.976516764,1,0.53,1
42,332,117,b,4.5,4,4.276516764,0,0.87,0
43,326,113,a,4.5,4,4.426516764,1,0.91,1
44,322,110,a,5,4,4.276516764,1,0.88,0
45,329,114,a,4,5,4.376516764,1,0.86,1
46,339,119,a,4.5,4,4.576516764,0,0.89,0
47,321,110,c,3.5,5,4.151516764,1,0.82,1
48,327,111,b,3,4,3.926516764,1,0.78,1
49,313,98,c,2.5,4.5,3.876516764,1,0.76,1
50,312,100,d,1.5,3.5,3.676516764,1,0.56,0
51,334,116,b,4,3,3.726516764,1,0.78,0
52,324,112,b,4,2.5,3.776516764,1,0.72,0
53,322,110,c,3,3.5,3.726516764,0,0.7,0
54,320,103,c,3,3,3.576516764,0,0.64,1
55,298,99,d,4,2,3.526516764,0,0.46,0
56,300,99,e,3,2,0.403077373,1,0.36,0
57,311,104,d,2,2,3.876516764,0,0.42,0
58,309,100,d,3,3,3.776516764,0,0.48,0
59,307,101,c,4,3,3.826516764,0,0.47,0
60,304,105,d,3,3,3.826516764,1,0.54,0
61,315,107,d,4,3,3.976516764,1,0.56,0
62,325,111,c,3,3.5,4.076516764,0,0.52,1
63,325,112,b,3.5,3.5,4.186516764,0,0.55,0
64,327,114,c,3,3,4.236516764,0,0.61,0
65,316,107,d,3.5,3.5,4.046516764,1,0.57,0
66,318,109,c,3.5,4,4.336516764,1,0.68,0
67,328,115,b,4.5,4,4.306516764,1,0.78,0
68,332,118,a,5,5,4.546516764,1,0.94,1
69,336,112,a,5,5,4.606516764,1,0.96,1
70,321,111,a,5,5,4.451516764,1,0.93,0
71,314,108,b,4.5,4,4.246516764,1,0.84,1
72,314,106,c,3,5,4.176516764,0,0.74,0
73,329,114,d,2,4,4.006516764,1,0.72,0
74,327,112,c,3,3,4.086516764,1,0.74,1
75,301,99,d,3,2,3.836516764,0,0.64,0
76,312,105,c,2,3,3.736516764,1,0.5,0
77,340,120,b,5,5,4.476516764,1,0.96,1
78,320,110,a,5,4.5,4.336516764,1,0.92,0
79,322,115,a,4,4.5,4.406516764,1,0.92,1
80,340,115,a,4.5,4.5,4.451516764,1,0.94,0
81,319,103,b,4.5,3.5,4.056516764,0,0.76,1
82,315,106,c,4.5,3.5,3.936516764,0,0.72,0
83,317,107,d,3.5,3,3.866516764,0,0.66,0
84,314,108,c,4.5,3.5,3.796516764,0,0.64,0
85,316,109,b,4.5,3.5,4.106516764,1,0.74,1
86,318,106,d,4,4,3.686516764,1,0.64,0
87,299,97,c,5,3.5,3.556516764,0,0.38,0
88,298,98,d,4,3,3.741516764,0,0.34,0
89,301,97,d,3,3,3.666516764,1,0.44,0
90,303,99,c,2,2.5,3.556516764,0,0.36,0
91,304,100,b,1.5,2.5,3.646516764,0,0.42,0
92,306,100,d,3,3,3.726516764,0,0.48,0
93,331,120,c,4,4,4.206516764,1,0.86,0
94,332,119,b,5,4.5,4.346516764,1,0.9,0
95,323,113,c,4,4,4.166516764,1,0.79,0
96,322,107,c,3.5,3.5,3.956516764,1,0.71,0
97,312,105,d,2.5,3,3.786516764,0,0.64,0
98,314,106,d,4,3.5,3.851516764,0,0.62,1
99,317,104,d,4.5,4,3.961516764,0,0.57,1
100,326,112,c,3.5,3,4.251516764,1,0.74,1
101,316,110,c,4,4.5,4.116516764,1,0.69,1
102,329,111,b,4.5,4.5,4.316516764,1,0.87,1
103,338,117,b,3.5,4.5,4.456516764,1,0.91,0
104,331,116,a,5,5,4.416516764,1,0.93,1
105,304,103,a,5,4,4.046516764,0,0.68,0
106,305,108,a,3,3,3.966516764,0,0.61,1
107,321,109,b,4,4,4.066516764,1,0.69,0
